model,hardware_type,run,latency_ms
resnet18,cpu,1,82.7418
resnet18,cpu,2,81.3015
resnet18,cpu,3,96.1937
resnet18,cpu,4,90.2327
resnet18,cpu,5,87.2719
resnet18,cpu,6,100.4767
resnet18,cpu,7,97.6073
resnet18,cpu,8,103.5637
resnet18,cpu,9,116.4215
resnet18,cpu,10,92.522
resnet18,cpu,11,82.5327
resnet18,cpu,12,82.3029
resnet18,cpu,13,80.8485
resnet18,cpu,14,81.7896
resnet18,cpu,15,79.1857
resnet18,cpu,16,79.3814
resnet18,cpu,17,77.0487
resnet18,cpu,18,77.8356
resnet18,cpu,19,76.7295
resnet18,cpu,20,77.0307
resnet18,cpu,21,77.769
resnet18,cpu,22,78.2004
resnet18,cpu,23,90.6449
resnet18,cpu,24,90.2285
resnet18,cpu,25,86.2026
resnet18,cpu,26,83.3055
resnet18,cpu,27,84.3812
resnet18,cpu,28,85.5416
resnet18,cpu,29,80.7856
resnet18,cpu,30,89.4148
resnet18,cpu,31,84.9097
resnet18,cpu,32,85.9203
resnet18,cpu,33,81.7908
resnet18,cpu,34,78.6302
resnet18,cpu,35,78.0465
resnet18,cpu,36,83.0741
resnet18,cpu,37,79.2042
resnet18,cpu,38,81.4229
resnet18,cpu,39,83.064
resnet18,cpu,40,79.6991
resnet18,cpu,41,78.2011
resnet18,cpu,42,80.1638
resnet18,cpu,43,79.8948
resnet18,cpu,44,76.8063
resnet18,cpu,45,76.688
resnet18,cpu,46,76.87
resnet18,cpu,47,77.1185
resnet18,cpu,48,80.9899
resnet18,cpu,49,76.4459
resnet18,cpu,50,83.9617
resnet18,cpu,51,88.1783
resnet18,cpu,52,106.2768
resnet18,cpu,53,85.3828
resnet18,cpu,54,84.1712
resnet18,cpu,55,82.8119
resnet18,cpu,56,80.7047
resnet18,cpu,57,80.2774
resnet18,cpu,58,78.2781
resnet18,cpu,59,77.9317
resnet18,cpu,60,78.9271
resnet18,cpu,61,123.3485
resnet18,cpu,62,81.095
resnet18,cpu,63,80.1093
resnet18,cpu,64,80.6158
resnet18,cpu,65,79.4828
resnet18,cpu,66,80.865
resnet18,cpu,67,78.5796
resnet18,cpu,68,78.7437
resnet18,cpu,69,79.5648
resnet18,cpu,70,80.8903
resnet18,cpu,71,82.4843
resnet18,cpu,72,85.8068
resnet18,cpu,73,78.6081
resnet18,cpu,74,77.5126
resnet18,cpu,75,78.4491
resnet18,cpu,76,76.8084
resnet18,cpu,77,76.6042
resnet18,cpu,78,76.6135
resnet18,cpu,79,76.8098
resnet18,cpu,80,75.8796
resnet18,cpu,81,76.6401
resnet18,cpu,82,81.6184
resnet18,cpu,83,77.8292
resnet18,cpu,84,78.5663
resnet18,cpu,85,81.3428
resnet18,cpu,86,77.181
resnet18,cpu,87,76.5223
resnet18,cpu,88,76.6104
resnet18,cpu,89,79.7551
resnet18,cpu,90,84.0159
resnet18,cpu,91,83.9116
resnet18,cpu,92,79.4885
resnet18,cpu,93,76.1591
resnet18,cpu,94,76.7712
resnet18,cpu,95,76.9558
resnet18,cpu,96,82.5018
resnet18,cpu,97,82.222
resnet18,cpu,98,84.0986
resnet18,cpu,99,77.8768
resnet18,cpu,100,80.887
resnet50,cpu,1,187.6099
resnet50,cpu,2,183.0039
resnet50,cpu,3,194.0214
resnet50,cpu,4,201.7547
resnet50,cpu,5,212.8621
resnet50,cpu,6,204.2989
resnet50,cpu,7,351.2408
resnet50,cpu,8,208.2689
resnet50,cpu,9,201.6736
resnet50,cpu,10,288.6292
resnet50,cpu,11,189.3155
resnet50,cpu,12,189.3707
resnet50,cpu,13,186.5322
resnet50,cpu,14,188.8593
resnet50,cpu,15,195.6866
resnet50,cpu,16,186.8848
resnet50,cpu,17,186.5249
resnet50,cpu,18,183.119
resnet50,cpu,19,202.2363
resnet50,cpu,20,221.8105
resnet50,cpu,21,190.0952
resnet50,cpu,22,195.3242
resnet50,cpu,23,191.4074
resnet50,cpu,24,228.0538
resnet50,cpu,25,265.4351
resnet50,cpu,26,199.3621
resnet50,cpu,27,193.8745
resnet50,cpu,28,201.4013
resnet50,cpu,29,214.4428
resnet50,cpu,30,191.929
resnet50,cpu,31,192.8318
resnet50,cpu,32,199.5842
resnet50,cpu,33,194.1361
resnet50,cpu,34,195.1608
resnet50,cpu,35,251.5487
resnet50,cpu,36,191.4792
resnet50,cpu,37,192.6073
resnet50,cpu,38,221.876
resnet50,cpu,39,259.9392
resnet50,cpu,40,219.6321
resnet50,cpu,41,186.3921
resnet50,cpu,42,186.3253
resnet50,cpu,43,189.9836
resnet50,cpu,44,188.8166
resnet50,cpu,45,185.4118
resnet50,cpu,46,188.1511
resnet50,cpu,47,185.5004
