model,mean,std,min,max,p95,skewness,kurtosis,lag1_autocorr
resnet18,99.5099,11.32395,87.5433,120.1693,116.976685,0.6302,-1.194608,0.491811
resnet18,101.01963,15.666019,84.4278,135.6625,128.39086,1.01149,-0.162403,0.496447
resnet18,106.80163,15.919025,87.4776,141.0505,134.35027,0.832346,-0.260318,0.289729
resnet18,88.4755,2.197074,83.6659,90.9715,90.537835,-1.25718,0.193352,-0.153294
resnet18,95.19684,8.240436,84.7197,112.0226,108.92093,0.732691,-0.61827,0.359763
resnet18,93.97343,7.813449,84.5708,107.224,106.760005,0.47737,-1.087314,-0.005903
resnet18,94.96955,3.830974,89.234,102.4503,100.981905,0.40371,-0.710426,-0.395874
resnet18,96.66046,2.669442,93.6799,102.685,101.10658,0.864375,0.077846,-0.091586
resnet18,98.71398,3.056397,94.4081,103.7664,103.08042,0.017265,-1.175272,0.110807
resnet18,102.85803,9.618635,93.2638,124.1703,119.67867,0.967765,-0.128291,0.623522
resnet50,249.31773,16.110237,229.9553,270.7084,269.866135,0.014146,-1.649627,0.246811
resnet50,269.35954,82.938268,203.9022,498.6328,406.164325,1.968063,2.943296,0.278106
resnet50,234.10346,27.860382,196.8481,283.253,274.54406,0.322959,-1.267352,0.088096
resnet50,222.56678,18.352112,205.04,256.247,255.35546,0.974199,-0.764111,0.890253
resnet50,225.55076,16.16812,204.9614,268.3457,252.37862,1.592834,2.212846,-0.027118
resnet50,258.3634,36.163469,211.6581,346.0203,314.66781,0.99119,0.996439,0.050515
resnet50,266.38576,19.253774,231.9347,308.5539,295.26873,0.480225,0.39327,0.068874
resnet50,257.467,16.296038,240.8654,298.6158,285.395295,1.389469,1.328707,0.48152
resnet50,270.43831,16.665178,247.4359,301.0579,295.888975,0.486403,-1.058226,-0.510239
resnet50,238.49502,11.763118,220.9234,259.1906,256.926335,0.288635,-1.020128,0.639404
vgg16,488.50728,43.799189,452.2712,615.8462,558.25169,2.356942,4.216162,-0.033088
vgg16,470.16133,12.07419,449.8919,493.425,487.806255,0.158345,-0.542394,-0.289976
vgg16,465.76541,18.458433,443.2467,495.2601,492.767865,0.277815,-1.45472,-0.508227
vgg16,529.77647,95.795718,439.2189,708.3774,692.21781,0.809528,-0.989616,0.706134
vgg16,520.59792,52.336028,456.4902,616.2678,608.45616,0.584874,-0.913341,-0.118803
vgg16,506.72034,68.59143,459.4916,702.1255,630.243085,2.241603,3.641099,0.060011
vgg16,539.2039,50.751366,470.5885,621.8725,612.757975,0.319947,-1.441892,-0.270849
vgg16,577.34655,82.953641,475.8651,712.07,693.459305,0.269171,-1.452573,-0.494541
vgg16,490.44655,32.986567,461.8616,583.2483,547.52856,2.105826,3.358387,0.075035
vgg16,491.40179,22.994421,471.2933,534.6934,533.578885,0.995304,-0.555697,-0.091535
inception_v3,139.64903,2.581563,136.1633,146.3057,143.92385,1.426052,1.799082,-0.038835
inception_v3,169.93684,49.218964,135.5138,308.6041,251.14441,2.118421,3.376069,0.723624
inception_v3,152.40305,19.675364,134.9546,196.043,187.789055,1.108522,-0.104592,0.223297
inception_v3,143.06445,6.794989,135.0328,160.9963,154.4893,1.581698,2.139641,-0.15042
inception_v3,130.05633,5.652244,126.4867,146.6774,139.535765,2.479473,4.509879,-0.019569
inception_v3,135.92853,12.094956,126.6391,165.4498,159.595525,1.570063,0.989605,0.291945
inception_v3,134.80886,12.546956,126.6646,168.1104,158.593575,1.839806,2.124659,0.317811
inception_v3,141.82499,13.114414,127.2006,168.6416,165.17282,0.890598,-0.49787,0.471758
inception_v3,138.53629,6.97495,131.5548,153.4999,150.64186,0.873599,-0.368182,0.642428
inception_v3,134.89739,1.864313,132.3966,138.606,137.75037,0.493785,-0.741166,-0.084707
mobilenet_v2,39.60182,4.020576,35.052,48.7372,45.94684,0.896891,0.059737,0.12917
mobilenet_v2,37.82128,2.261463,35.6709,43.5777,41.732925,1.44197,1.451489,-0.214709
mobilenet_v2,36.13252,2.299155,34.4519,42.7005,40.01751,2.234168,3.720198,0.240676
mobilenet_v2,36.27386,1.217058,34.8774,38.7959,38.428565,0.894159,-0.460072,-0.099971
mobilenet_v2,38.06778,2.330245,35.3161,42.339,42.072645,0.775768,-0.896603,0.045233
mobilenet_v2,36.79432,1.721029,34.9743,40.418,39.83093,0.921121,-0.456689,-0.077135
mobilenet_v2,36.38933,1.585407,34.6373,40.5619,39.09544,1.62977,2.009656,0.555907
mobilenet_v2,35.84808,0.75333,34.8963,37.1276,37.01681,0.388269,-1.216443,-0.25867
mobilenet_v2,37.07876,1.964326,34.9653,41.2048,40.652785,0.965855,-0.313197,-0.318369
mobilenet_v2,36.65637,1.592624,35.1893,40.0625,39.57434,1.098685,-0.269907,0.132121
