model,run,latency_ms
resnet18,1,53.4603
resnet18,2,51.3671
resnet18,3,49.0202
resnet18,4,51.5936
resnet18,5,46.2272
resnet18,6,44.1208
resnet18,7,46.4809
resnet18,8,46.078
resnet18,9,41.6295
resnet18,10,42.4334
resnet18,11,40.3307
resnet18,12,39.55
resnet18,13,40.2072
resnet18,14,42.4441
resnet18,15,41.4511
resnet18,16,36.8747
resnet18,17,38.873
resnet18,18,39.2719
resnet18,19,40.4476
resnet18,20,37.4732
resnet18,21,41.757
resnet18,22,41.5482
resnet18,23,41.8912
resnet18,24,38.5899
resnet18,25,41.2933
resnet18,26,40.7045
resnet18,27,37.5152
resnet18,28,39.6938
resnet18,29,39.1643
resnet18,30,41.9085
resnet18,31,42.3126
resnet18,32,41.8484
resnet18,33,37.8928
resnet18,34,39.8323
resnet18,35,39.782
resnet18,36,39.4451
resnet18,37,41.1702
resnet18,38,40.3583
resnet18,39,39.907
resnet18,40,40.7806
resnet18,41,40.7512
resnet18,42,40.2217
resnet18,43,40.2675
resnet18,44,40.7822
resnet18,45,40.2434
resnet18,46,39.5556
resnet18,47,41.5025
resnet18,48,39.3268
resnet18,49,37.6224
resnet18,50,38.7926
resnet18,51,40.5848
resnet18,52,39.6537
resnet18,53,39.0749
resnet18,54,40.3568
resnet18,55,42.1596
resnet18,56,36.7227
resnet18,57,39.186
resnet18,58,42.3048
resnet18,59,39.0521
resnet18,60,41.4339
resnet18,61,40.3883
resnet18,62,39.5055
resnet18,63,42.8606
resnet18,64,41.0699
resnet18,65,39.5047
resnet18,66,39.0269
resnet18,67,39.7015
resnet18,68,40.2002
resnet18,69,40.5884
resnet18,70,42.827
resnet18,71,41.8405
resnet18,72,43.302
resnet18,73,41.3711
resnet18,74,49.2493
resnet18,75,53.8953
resnet18,76,48.1693
resnet18,77,49.007
resnet18,78,49.2932
resnet18,79,47.7485
resnet18,80,45.2314
resnet18,81,50.3402
resnet18,82,50.4303
resnet18,83,51.0692
resnet18,84,43.4163
resnet18,85,43.3427
resnet18,86,40.4701
resnet18,87,38.6756
resnet18,88,39.9465
resnet18,89,38.5088
resnet18,90,40.289
resnet18,91,38.2705
resnet18,92,40.8729
resnet18,93,39.2374
resnet18,94,40.5351
resnet18,95,43.8525
resnet18,96,52.0603
resnet18,97,40.0269
resnet18,98,40.4759
resnet18,99,39.6256
resnet18,100,39.1283
resnet50,1,118.3789
resnet50,2,120.0536
resnet50,3,123.3664
resnet50,4,118.7875
resnet50,5,195.2764
resnet50,6,120.828
resnet50,7,130.0455
resnet50,8,121.0767
resnet50,9,130.8952
resnet50,10,140.2807
resnet50,11,169.0147
resnet50,12,178.8587
resnet50,13,141.7149
resnet50,14,142.8189
resnet50,15,123.7037
resnet50,16,121.6704
resnet50,17,121.789
resnet50,18,119.4901
resnet50,19,123.0669
resnet50,20,123.2937
resnet50,21,153.4568
resnet50,22,130.7637
resnet50,23,120.9815
resnet50,24,119.73
resnet50,25,121.7249
resnet50,26,125.5783
resnet50,27,122.1257
resnet50,28,120.6876
resnet50,29,128.8393
resnet50,30,120.978
resnet50,31,118.829
resnet50,32,118.5107
resnet50,33,129.3562
resnet50,34,159.8964
resnet50,35,154.116
resnet50,36,140.3781
resnet50,37,143.0077
resnet50,38,129.2045
resnet50,39,120.2328
resnet50,40,124.424
resnet50,41,120.0712
resnet50,42,118.7388
resnet50,43,120.2595
resnet50,44,116.3616
resnet50,45,127.2099
resnet50,46,121.1044
resnet50,47,118.9197
resnet50,48,123.2159
resnet50,49,122.5278
resnet50,50,119.2101
resnet50,51,121.3553
resnet50,52,117.7356
resnet50,53,123.2956
resnet50,54,127.8576
resnet50,55,117.9578
resnet50,56,125.6821
resnet50,57,132.4983
resnet50,58,161.6801
resnet50,59,157.2102
resnet50,60,143.0389
resnet50,61,152.8913
resnet50,62,120.5167
resnet50,63,120.9481
resnet50,64,121.2158
resnet50,65,118.5858
resnet50,66,120.4099
resnet50,67,120.804
resnet50,68,121.1179
resnet50,69,123.7697
resnet50,70,117.0938
resnet50,71,121.5627
resnet50,72,123.0316
resnet50,73,128.9158
resnet50,74,118.6187
resnet50,75,118.6908
resnet50,76,118.481
resnet50,77,123.8723
